,Titulo de tesis,resumen,palabras clave,mencion
78,PATRONES DE ACCESIBILIDAD WEB PARA LA CONSTRUCCIÓN DE INTERFACES DEUSUARIO: UN MEDIO DE INCLUSIÓN PARA PERSONAS CON DISCAPACIDADES VISUALES,EN LA ACTUALIDAD Y DE MANERA GENERAL  EXISTE UNA GRAN CANTIDAD DEDESARROLLADORES DE SOFTWARE QUE ESTÁN ACOSTUMBRADOS A CREAR APLICACIONESWEB PARA LAS MASAS  SIN TOMAR EN CUENTA A LAS PERSONAS CON DISCAPACIDADESDANDO COMO RESULTADO APLICACIONES MUY POCO O NADA ACCESIBLES A ÉSTAS Y ENPARTICULAR A LAS QUE POSEEN DISCAPACIDADES VISUALES ACTUALMENTE EXISTENDIVERSOS GRUPOS DE INVESTIGACIÓN E INICIATIVAS PROMOVIENDO LA CREACIÓN DEPÁGINAS WEB ACCESIBLES LA WAI (WEB ACCESSIBILITY INICIATIVE) ES UNA DEELLAS PERTENECIENTE A LA W3C (WOLD WIDE WEB CONSORTIUM)  LA WAI SE HAABOCADO A LA CREACIÓN DE UN EXTENSO COMPENDIO DE GUÍAS DE ACCESIBILIDAD ELOBJETIVO PRINCIPAL DE ESTE TRABAJO ESPECIAL DE GRADO ES PROPORCIONAR UNASOLUCIÓN A LOS DESARROLLADORES  QUE AYUDE A MINIMIZAR EL PROBLEMA QUEPRESENTAN LAS PERSONAS CON DISCAPACIDADES  ESPECÍFICAMENTE CONDISCAPACIDADES VISUALES AL MOMENTO DE ACCEDER LA WEB LA SOLUCIÓN SE LOGRÓMEDIANTE PATRONES DE ACCESIBILIDAD WEB  CREADOS Y VALIDADOS A TRAVÉS DE LAEJECUCIÓN DE LAS SIGUIENTES CUATRO (4) ETAPAS: 1 SELECCIÓN DE UN CONJUNTODE SITIOS WEB A FIN DE EVALUAR SU ACCESIBILIDAD  2 REALIZACIÓN DE UNASERIE DE PRUEBAS DE ACCESIBILIDAD A LOS SITIOS SELECCIONADOS PARADETERMINAR LOS PROBLEMAS EXISTENTES  3 CREACIÓN DE UN CONJUNTO DEPATRONES DE ACCESIBILIDAD QUE FACILITEN EL DESARROLLO DE SITIOS WEBACCESIBLES A LAS PERSONAS CON DISCAPACIDADES VISUALES  4 APLICACIÓN DELOS PATRONES DE ACCESIBILIDAD A UN CASO DE ESTUDIO INCLUYENDO EN ELDESARROLLO DE UN CASO DE ESTUDIO LOS PATRONES DE ACCESIBILIDAD WEB  SELOGRA GENERAR UNA APLICACIÓN WEB ACCESIBLE A LAS PERSONAS CONDISCAPACIDADES VISUALES,ACCESIBILIDAD  ACCESIBILIDAD WEB  DISCAPACIDADES  DISCAPACIDAD VISUAL PATRONES DE ACCESIBILIDAD,TRABAJO ESPECIAL DE GRADO (INGENIERIA DE SOFTWARE)
79,SISTEMA DE INFORMACIÓN PARA LA GESTIÓN DE LAS COMUNICACIONES DEPROYECTOS,EL PRESENTE TRABAJO ESPECIAL DE GRADO CONTEMPLA EL DESARROLLO DE UNSISTEMA DE INFORMACIÓN PARA LA GESTIÓN DE LAS COMUNICACIONES DE PROYECTOS SIGUIENDO LOS ESTÁNDARES ESTABLECIDOS EN LA GUÍA DEL PMBOK (PROJECTMANAGEMET BODY OF KNOWLEDGE  GUÍA DE FUNDAMENTOS DE LA GESTIÓN DEPROYECTOS) PARA DICHO DESARROLLO SE UTILIZÓ EL MÉTODO DE INVESTIGACIÓNTTIPO PROYECTIVA  PERMITIENDO EL LEVANTAMIENTO DE INFORMACIÓN EN 3 FASES:INICIO  DESARROLLO  EVALUACIÓN Y CIERRE LA FASE DE INICIO CONSISTIÓ EN LARECOPILACIÓN Y SELECCIÓN DE LA INFORMACIÓN CONCERNIENTE A LOS FORMULARIOSESPECIFICADOS POR EL PMI (COMPENDIUM OF PROJECT MANAGEMENT PRACTICES22000033 ((COMPENDIO DE PRÁCTICAS DE GESTIÓN DE PROYECTOS 2003))   QUESERÁN USADOS PARA LA COMPILACIÓN Y DISTRIBUCIÓN DE LA INFORMACIÓN A LOSINTERESADOS DE LOS PROYECTOS LA FASE DE DESARROLLO SE BASÓ EN EL ANÁLISISDE LAS HERRAMIENTAS Y TÉCNICAS DEL ÁREA DE GESTIÓN DE LAS COMUNICACIONES YADAPTACIÓN DE LOS FORMULARIOS SELECCIONADOS EN LA FASE ANTERIOR PARADESARROLLAR UN FLUJO DE TRABAJO PARA LA AUTOMATIZACIÓN Y MANEJO DEDOCUMENTOS PARA LOS PROYECTOS LA FASE DE EVALUACIÓN Y CIERRE  VERIFICÓ LACORRECTITUD Y COMPLETITUD DE LA INFORMACIÓN QUE SERÁ DISTRIBUIDA A LOSGRUPOS DE INTERESADOS DE LOS PROYECTOS GESTIONADOS POR EL PSGP UNA VEZSELECCIONADAS TODAS LAS HERRAMIENTAS Y TÉCNICAS SE LLEVA A CABO LAIMPLEMENTACIÓN DE LAS MISMAS Y LAS PRUEBAS NECESARIAS PARA COMPROBAR SUCORRECTO FUNCIONAMIENTO EL OBJETIVO PRINCIPAL DE ESTE TRABAJO ESPECIAL DEGRADO CONSISTE EN EL ANÁLISIS  SELECCIÓN E IMPLEMENTACIÓN DE UN CONJUNTO DEHERRAMIENTAS Y TÉCNICAS DE LA GESTIÓN DE LAS COMUNICACIONES BASADAS EN LASDESCRITAS EN EL PMBOK  EL DESARROLLO DE LAS INTERFACES DE USUARIO Y MODELOSDE DATOS CORRESPONDIENTES  ADEMÁS DEL CONJUNTO DE MANUALES DE USUARIO YSISTEMA NECESARIOS  PERMITIENDO ASÍ EL DESARROLLO DE UN PROTOTIPO DESOFTWARE DE SEGUIMIENTO Y CONTROL PARA LA GESTIÓN DE LAS COMUNICACIONES DEPROYECTOS,PROYECTO  GESTIÓN DE PROYECTOS  GESTIÓN DE LAS COMUNICACIONES  PMI PMBOK,TRABAJO ESPECIAL DE GRADO (BASE DE DATOS)
80,DESARROLLO DE UNA APLICACIÓN WEB PARA LA BIBLIOTECA ALONSO GAMERO QUEPERMITA EL ALMACENAMIENTO  GESTIÓN Y BÚSQUEDA DE LA PRODUCCIÓN INTELECTUALDE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA,EL SIGUIENTE TRABAJO ESPECIAL DE GRADO ABORDA LA LOCALIZACIÓN Y EL DIFÍCILACCESO QUE TIENE LA PRODUCCIÓN INTELECTUAL DE LA FACULTAD DE CIENCIAS DE LAUNIVERSIDAD CENTRAL DE VENEZUELA  MÁS ESPECÍFICAMENTE DE LOS TRABAJOSESPECIALES DE GRADO (TEG) DE PREGRADO EN EL MARCO TEÓRICO SE EXPLICANLOS CONCEPTOS ASOCIADOS A LA GESTIÓN DEL CONOCIMIENTO Y SU RELACIÓN CON LASAPLICACIONES WEB  EL FORMATO DE DOCUMENTO ELECTRÓNICO MÁS COMÚN Y LOSMOTORES DE BÚSQUEDA QUE MANIPULAN ESTOS DOCUMENTOS ELECTRÓNICOS EN ELMARCO APLICATIVO SE MUESTRAN LAS ETAPAS DEL DESARROLLO DE UNA APLICACIÓNWEB CON UN MOTOR DE BÚSQUEDA EMBEBIDO QUE GESTIONA LOS TEG DE LAFACULTAD DE CIENCIAS  UTILIZANDO EL MÉTODO DE DESARROLLO DE SOFTWAREPROGRAMACIÓN EXTREMA (XP) EL SISTEMA DESARROLLADO REALIZA UNA INTEGRACIÓNCON EL SISTEMA CONEST PARA APROVECHAR LOS DATOS ALLÍ ALMACENADOS Y LOSPROCESOS DE VALIDACIÓN DE USUARIOS  Y ASÍ PODER ALCANZAR Y CUBRIR PORCOMPLETO LOS REQUERIMIENTOS DE LOS USUARIOS DE ÉSTE SISTEMA AL QUE SE LEDENOMINARÁ BUBAG,UNIVERSIDAD CENTRAL DE VENEZUELA  FACULTAD DE CIENCIAS  ESCUELA DECOMPUTACIÓN  BIBLIOTECA ALONSO GAMERO  GESTIÓN DE DOCUMENTOS  APLICACIÓNWEB  BÚSQUEDA DE DOCUMENTOS ELECTRÓNICOS  RUBY ON RAILS  PROGRAMACIÓNEXTREMA (XP)  BUBAG,TRABAJO ESPECIAL DE GRADO (BASE DE DATOS)
81,DESARROLLO DE UNA APLICACIÓN WEB PARA LA AUTOMATIZACIÓN DE LA UNIDAD DESERVICIO COMUNITARIO DE LA FACULTAD DE CIENCIAS,LA UNIDAD DE SERVICIO COMUNITARIO REQUIERE LA ORGANIZACIÓN DE SUS PROCESOSCON EL USO DE LAS TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN (TIC)  CON ELFIN DE GESTIONAR DE MEJOR FORMA LA INFORMACIÓN DE LOS INVOLUCRADOS EN LASACTIVIDADES DEL SERVICIO COMUNITARIO  BENEFICIANDO A LA COMUNIDADESTUDIANTIL  DOCENTE Y EL PERSONAL QUE LA CONFORMA CON EL PROPÓSITO DEAPOYAR A LA UNIDAD DE SERVICIO COMUNITARIO SE PLANTEA COMO OBJETIVO DE ESTETRABAJO ESPECIAL DE GRADO EL DESARROLLO DE UNA APLICACIÓN WEB QUEAUTOMATIZA LOS PROCESOS RELACIONADOS CON LOS CURSOS DE INDUCCIÓN(INSCRIPCIÓN Y CONTROL DE ASISTENCIA) Y PROYECTOS (INSCRIPCIÓN  CRONOGRAMADE ACTIVIDADES Y CALIFICACIÓN) EN ÉSTE TRABAJO SE UTILIZA EL MÉTODO DEDESARROLLO DE SOFTWARE ÁGIL PROGRAMACIÓN EXTREMA  QUE PERMITE LAINTERACCIÓN CONTINUA CON EL CLIENTE PARA CUBRIR SUS NECESIDADES REFERENTESAL SOFTWARE EN UN TIEMPO OPORTUNO SE ADOPTAN TECNOLOGÍAS SOFTWARE LIBRECOMO: MYSQL  RUBY ON RAILS  JAVASCRIPT  HTML  CSS  ENTRE OTROS,UNIDAD DE SERVICIO COMUNITARIO  SERVICIO COMUNITARIO  PRESTADORCOMUNITARIO  TUTOR ACADÉMICO  TUTOR COMUNITARIO  APLICACIÓN WEB PROGRAMACIÓN EXTREMA  RUBY ON RAILS,TRABAJO ESPECIAL DE GRADO (APLICACIONES INTERNET)
82,SISTEMA DE GESTIÓN DE PUNTOS DE COMPROMISO Y PUNTOS DE ACEPTACIÓN PARA LOSBANCOS AFILIADOS A LA CORPORACIÓN SUICHE 77B,EL PRESENTE TRABAJO EXPONE FUNDAMENTOS CONCEPTUALES  METODOLÓGICOS Y DEIMPLEMENTACIÓN QUE RESUMEN LA INVESTIGACIÓN DEL TRABAJO ESPECIAL DE GRADOREALIZADO CON EL OBJETIVO DE DESARROLLAR UNA APLICACIÓN WEB PARA LACORPORACIÓN SUICHE 7B CA QUE PERMITA EL INTERCAMBIO ENTRE LAS DIFERENTESINSTITUCIONES BANCARIAS DE INFORMACIÓN ASOCIADA A POSIBLES FRAUDES ENOPERACIONES CON TARJETAS DE CRÉDITO Y DÉBITO LA APLICACIÓN EN CUESTIÓNPERMITIRÁ LA DETECCIÓN DE LOS PUNTOS DE COMPROMISO (PDC) Y PUNTOS DEACEPTACIÓN (PDA) UTILIZADOS EN ACCIONES DE FRAUDE  COMO PARTE DE UNA NUEVAESTRATEGIA DE COOPERACIÓN INTERBANCARIA QUE AYUDE A COMBATIR LA COPIA Y USOILEGAL DE TARJETAS DE DÉBITO Y CRÉDITO A LOS USUARIOS DE LAS INSTITUCIONESBANCARIAS DEL PAÍS PARA ALCANZAR ESTOS OBJETIVOS SE APLICÓ UNA METODOLOGÍABASADO EN LA ADAPTACIÓN DE XP (PROGRAMACIÓN EXTREMA)  DETALLANDO LAS FASESDE PLANIFICACIÓN  DISEÑO  CODIFICACIÓN Y PRUEBAS PARA CADA UNA DE LASITERACIONES QUE SE DIVIDIÓ EL DESARROLLO DE LA APLICACIÓN WEB SE OBTUVOCOMO RESULTADO UNA APLICACIÓN WEB PARA EL MANEJO DEL PERSONAL DE LASDIFERENTES COMISIONES DE FRAUDE DE LAS INSTITUCIONES BANCARIAS ASÍ COMOPARA EL PERSONAL DE LA GERENCIA DE OPERACIONES DE LA CORPORACIÓN SUICHE 7B CONVIRTIÉNDOSE ASÍ  EN LA PRIMERA APLICACIÓN EN EL PAÍS PARA TAL FIN,SISTEMA DE GESTIÓN DE PUNTOS DE COMPROMISO Y PUNTOS DE ACEPTACIÓN (SIPCA) PUNTO DE COMPROMISO (PDC)  PUNTO DE ACEPTACIÓN (PDA)  CLONACIÓN  CAJEROAUTOMÁTICO (ATM)  PUNTO DE VENTA (POS)  SCORE,TRABAJO ESPECIAL DE GRADO (APLICACIONES EN INTERNET)
83,SISTEMA CONTROL DE SOLICITUDES PARA PETICIONES TECNOLOGICAS POR PARTE DELCAMPUS UNIVERSITARIO DE LA UCV,EL SISTEMA DE CONTROL DE SOLICITUDES (SCS) ES UN SISTEMA INFORMÁTICO DETIPO WEB PORTABLE DE ATENCIÓN AL CLIENTE PARA LA ADMINISTRACIÓN  CONTROL COORDINACIÓN  ORGANIZACIÓN Y MEDICIÓN DE LAS SOLICITUDES QUE RECIBE LA DTICEN RELACIÓN A LOS SERVICIOS INFORMÁTICOS QUE PRESTA ESTE SISTEMA DEBECOORDINAR EL CICLO DE ATENCIÓN DE LA SOLICITUD DESDE SU CREACIÓN HASTA SUCIERRE  CONTROLANDO SUS TRANSICIONES Y ORGANIZANDO LA INFORMACIÓN NECESARIAPARA SU TRATADO ESTA ESTRUCTURA DE SERVICE DESK FUE CREADA PARA LADIRECCIÓN DE TECNOLOGÍA INFORMACIÓN Y COMUNICACIÓN  DE LA UNIVERSIDADCENTRAL DE VENEZUELA Y DESARROLLADA BAJO EL CONCEPTO DEL DECRETO 3390 DELGOBIERNO NACIONAL  QUE PROMUEVE EL DESARROLLO DE HERRAMIENTAS TECNOLÓGICASBAJO LA UTILIZACIÓN DE TECNOLOGÍAS OPEN SOURCE PARA IMPLEMENTAR LOPROPUESTO HASTA EL MOMENTO SE HARÁ USO DE SQL SERVER COMO SISTEMA MANEJADORDE BASE DE DATOS DE IGUAL MANERA SE UTILIZARÁ COMO HERRAMIENTA TECNOLÓGICAPARA EL DESARROLLO DE LAS INTERFACES WEB EL LENGUAJE DE PROGRAMACIÓN PHP 5POR ULTIMO LA APLICACIÓN SERÁ SOPORTADA BAJO EL SERVIDOR WEB APACHE, METODOLOGÍA DE DESARROLLO  ÁREAS DE CONOCIMIENTO  TÉCNICAS Y HERRAMIENTASPARA LA CREACIÓN DE SISTEMAS  ANÁLISIS  CALIDAD  SOFTWARE  ALCANCE  TIEMPO COSTES  RECURSO HUMANO,TRABAJO ESPECIAL DE GRADO (BASE DE DATOS)
84,ESCÁNER 33D DE BAJO COSTO EMPLEANDO WEBCAMS,EN ESTE TRABAJO SE APLICAN CONCEPTOS Y MÉTODOS RELATIVOS AL PROCESAMIENTODIGITAL DE IMÁGENES Y LA COMPUTACIÓN GRÁFICA EN LA CONSTRUCCIÓN DE UNESCÁNER 3D DE BAJO COSTO QUE EMPLEA 2 WEBCAMS  Y QUE SEA CAPAZ DE REALIZARLA RECONSTRUCCIÓN 3D DE LA GEOMETRÍA DE UN OBJETO PARA ELLO  SE APLICANTÉCNICAS PARA LA OBTENCIÓN DE PUNTOS CARACTERÍSTICOS QUE DEFINAN LAESTRUCTURA DEL OBJETO Y SE REALIZA LA CALIBRACIÓN DE LAS CÁMARAS EMPLEADAS CON EL FIN DE OBTENER LOS PARÁMETROS QUE DEFINEN LAS PROPIEDADES DE ELLAS YSU UBICACIÓN CON RESPECTO A UN SISTEMA DE COORDENADAS GLOBAL LARECONSTRUCCIÓN DE UN OBJETO SE REALIZA UTILIZANDO DOS CÁMARAS WEB SEPARADAS UNA CIERTA DISTANCIA HORIZONTAL ENTRE SÍ  CON LAS CUALES SEOBTIENEN DOS FOTOS DE UNA MISMA ESCENA DESDE PUNTOS DE VISTA DIFERENTES APARTIR DE ESTAS IMÁGENES  Y DE LOS PARÁMETROS OBTENIDOS EN LA CALIBRACIÓN ES POSIBLE DETERMINAR LAS COORDENADAS X Y Z DE CADA UNO DE LOS PUNTOS QUEDEFINAN LA ESTRUCTURA DEL OBJETO EN CUESTIÓN ESTE TRABAJO PRETENDE CREARUN PROTOTIPO DE SOFTWARE Y HARDWARE QUE PERMITA OBTENER LA RECONSTRUCCIÓNTRIDIMENSIONAL DE UN OBJETO  ESTA INFORMACIÓN PUEDE SER EMPLEADA POSTERIORMENTE  PARA CONSTRUIR MODELOS DE ESTUDIOS  CON FINES RECREATIVOS CULTURALES  MÉDICOS  ENTRE OTROS,RECONSTRUCCIÓN 3D  VISIÓN ESTEREOSCÓPICA  CALIBRACIÓN DE CÁMARAS TRIANGULACIÓN DE DELAUNAY,TRABAJO ESPECIAL DE GRADO (COMPUTACION GRAFICA)
85,PIZARRA INTERACTIVA DE BAJO COSTO UTILIZANDO WEBCAMS,EN LA ACTUALIDAD EXISTEN DIVERSAS INTERFACES QUE FACILITAN EL USO DELCOMPUTADOR  ENTRE ELLAS SE ENCUENTRAN LAS PIZARRAS INTERACTIVAS  LAS CUALESSON DE GRAN UTILIDAD EN AMBIENTES EDUCATIVOS Y DE CONFERENCIAS A PESAR DEQUE EXISTE UNA GRAN VARIEDAD EN EL MERCADO  EL USO DE ÉSTAS NO SE HAMASIFICADO DEBIDO A SU ALTO COSTO ES POR ELLO QUE EN ESTE TRABAJO ESPECIALDE GRADO SE PRESENTA UN SISTEMA ENFOCADO EN OFRECER LAS CARACTERÍSTICAS DEUNA PIZARRA INTERACTIVA UTILIZANDO WEBCAMS  MATERIALES DE BAJO COSTO Y LOSCONOCIMIENTOS QUE OFRECE EL ÁREA DE VISIÓN POR COMPUTADOR EL SISTEMADESARROLLADO CAPTURA LAS IMÁGENES  LES APLICA EL PROCESAMIENTO NECESARIO YFINALMENTE REALIZA LA ACCIÓN CORRESPONDIENTE EN EL COMPUTADOR,PIZARRA INTERACTIVA  VISIÓN POR COMPUTADOR  PROCESAMIENTO DIGITAL DEIMÁGENES  WEBCAM,TRABAJO ESPECIAL DE GRADO (COMPUTACION GRAFICA)
86,PROPUESTA PARA LA IMPLEMENTACIÓN DE UN SERVICIO DE HILOS MUSICALESUTILIZANDO IPV66 MULTICAST,EL OBJETIVO DEL PRESENTE TRABAJO ESPECIAL DE GRADO CONSISTE EN INVESTIGARLOS REQUERIMIENTOS NECESARIOS PARA HABILITAR UN SERVICIO DE HILOS MUSICALESSOBRE IPV6 MULTICAST PARA LA UNIVERSIDAD CENTRAL DE VENEZUELA ESTAINVESTIGACIÓN SE BASA EN EL ESTUDIO DE LA TECNOLOGÍA MULTICAST  LAINFRAESTRUCTURA Y CONFIGURACIÓN NECESARIA PARA ESTE TIPO DE SERVICIOS EN UNENTORNO IPV6 EL TRABAJO EMPIEZA CON UN PROCESO DE INVESTIGACIÓN DE LATECNOLOGÍA MULTICAST  QUE CONTEMPLA SU ORIGEN  EVOLUCIÓN E INTERACCIÓN CONLOS NUEVOS ESTÁNDARES DE COMUNICACIÓN IP POSTERIORMENTE  EN BASE A DICHAINVESTIGACIÓN  SE PROPONE UNA INFRAESTRUCTURA DE RED QUE ABARCA PROTOCOLOS ESTÁNDARES  TECNOLOGÍAS Y EQUIPOS NECESARIOS PARA IMPLEMENTAR UN SERVICIODE HILOS MUSICALES SOBRE IPV6 MULTICAST EL PROTOCOLO DE ENRUTAMIENTOMULTICAST HA UTILIZAR ES PIMSM  DEBIDO A QUE ES UNO DE LOS PROTOCOLOS MÁSUTILIZADOS EN ESTE TIPO DE AMBIENTES  DEFINIDO FORMALMENTE EN UN RFC YADOPTADO POR LAS PRINCIPALES COMPAÑÍAS FABRICANTES DE DISPOSITIVOS DE REDPOR OTRA PARTE  PARA EL SERVICIO DE DIFUSIÓN DE LOS HILOS MUSICALES  Y TRASUNA INVESTIGACIÓN DE LAS APLICACIONES DISPONIBLES  SE UTILIZÓ MICROSOFTWINDOWS MEDIA SERVICE 9 COMO SERVIDOR DE STREAMING DEBIDO A UN CONJUNTO DECARACTERÍSTICAS IMPORTANTES  TALES COMO SOPORTE DE FORMATOS DE AUDIOAMPLIAMENTE DESPLEGADOS EN INTERNET  FÁCIL INSTALACIÓN Y ADMINISTRACIÓN SOPORTE IPV6 Y MULTICAST  ENTRE OTROS FINALMENTE  ESTE TRABAJO PROVEE ADEMÁS DE UNA PROPUESTA PARA UN SERVICIO DE HILOS MUSICALES PARA LA UCV UNA IMPLEMENTACIÓN DEL SERVICIO PARA LA FACULTAD DE CIENCIAS,IPV6  MULTICAST  HILOS MUSICALES  SERVIDOR DE STREAMING,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
87,COLONOSCOPÍA VIRTUAL USANDO TÉCNICAS DE OPTIMIZACIÓN DE RAY CASTING,REALIZAR EL RENDER POR SOFTWARE DE UNA COLONOSCOPÍA OBTENIDA A TRAVÉS DEUNA RESONANCIA MAGNÉTICA QUE PERMITA NAVEGAR DENTRO DEL COLON YVISUALIZARLO USANDO SOLO RECURSOS BÁSICOS OPTIMIZACIÓN DEL RENDER PORSOFTWARE DEL VOLUME RENDERING Y USO DE HILOS PARA ACELERARLO RESALTADO DEZONAS DE IMPORTANCIA,VOLUME RENDERING  COLONOSCOPÃA VIRTUAL  RAY CASTING  OPTIMIZACIONESRENDERING  RENDER MULTIHILOS  SOFTWARE RENDER  IMPORTANCE DRIVEN VOLUMERENDERING,TRABAJO ESPECIAL DE GRADO (COMPUTACION GRAFICA)
88,DISEÑO DE LA RED DE ÁREA LOCAL INALÁMBRICA PARA EL EDIFICIO DE AULAS DE LAFACULTAD DE CIENCIAS DE LA UCV,EL PRESENTE TRABAJO ESPECIAL DE GRADO TIENE COMO OBJETIVO ELABORAR YPROPONER EL DISEÑO DE UNA SOLUCIÓN INALÁMBRICA BASADA EN EL ESTÁNDAR IEEE80211 PARA LA CONECTIVIDAD DEL EDIFICIO DE AULAS DE LA FACULTAD DECIENCIAS DE LA UCV CON SU RED DE DATOS EXISTENTE, RED DE ÁREA LOCAL INALÁMBRICA  IEEE 80211  WIFI  WLAN  SITE SURVEY(ESTUDIO DE SITIO)  ANTENA  RADIOFRECUENCIA (RF),TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
89,DESARROLLO DE UNA APLICACIÓN WEB PARA LA GESTIÓN DE HISTORIAS CLÍNICASDIGITALES,EL OBJETIVO DE ESTE TRABAJO ESPECIAL DE GRADO CONSISTIÓ EN DESARROLLAR UNAAPLICACIÓN WEB PARA LA CREACIÓN Y MANIPULACIÓN DE LAS HISTORIAS CLÍNICASDIGITALES  EN LA QUE SE REALIZÓ EL MANEJO Y DISEÑO DE INTERFAZ  BRINDANDOUN MAYOR CONTROL Y GESTIÓN DE LAS HISTORIAS CLÍNICAS DE LOS PROFESIONALESDE LA MEDICINA  CONFIGURACIÓN Y ADMINISTRACIÓN DE INFORMES Y RÉCIPESMÉDICOS Y GESTIÓN DE CITAS ESTA APLICACIÓN WEB FUE DESARROLLADA UTILIZANDOCOMO LENGUAJE DE PROGRAMACIÓN RUBY ON RAILS  TECNOLOGÍAS DEL LADO DELCLIENTE COMO HTML  HTML5  CSS Y JAVASCRIPT ESPECÍFICAMENTE LA LIBRERÍAJQUERY  A TRAVÉS DEL MÉTODO DE DESARROLLO ÁGIL DE SOFTWARE PROGRAMACIÓNEXTREMA (XP) PARA ESTE TRABAJO ESPECIAL DE GRADO SE REALIZÓ UNA FASE DEINVESTIGACIÓN EN LA CUAL SE EFECTUÓ UN ESTUDIO DE LAS NECESIDADES DE MAYORIMPORTANCIA CON RESPECTO A LAS HISTORIAS CLÍNICAS MANEJADAS POR DISTINTOSTIPOS DE MÉDICOS ESPECIALISTAS LUEGO DE UNA RECOLECCIÓN DE HISTORIASCLÍNICAS TRADICIONALES  SE LOGRÓ DETERMINAR LAS CARACTERÍSTICAS COMUNES DELAS MISMAS EN CUANTO A FORMATO  PROPORCIONANDO INFORMACIÓN RELEVANTE PARAEL DESARROLLO DEL TRABAJO COMO PRODUCTO FINAL SE OBTUVO UNA APLICACIÓN WEBQUE PERMITE REGISTRAR AL PERSONAL MÉDICO  CREAR  CONFIGURAR Y MODIFICAR ELFORMATO DE LAS HISTORIAS CLÍNICAS  COMO TAMBIÉN DE INFORMES Y RÉCIPESMÉDICOS  ADEMÁS DE PROVEER LA POSIBILIDAD DE GESTIONAR CITAS MÉDICAS,HISTORIA CLÍNICA  HISTORIA CLÍNICA DIGITAL  INFORME  RÉCIPE  CITA PROGRAMACIÓN EXTREMA (XP)  BASE DE DATOS  TECNOLOGÍAS,TRABAJO ESPECIAL DE GRADO (APLICACIONES INTERNET)
90,PLATAFORMA PARA EL ESTUDIO Y DESARROLLO DE MÉTODOS DE CONTINUACIÓN,LOS MÉTODOS DE CONTINUACIÓN SON UNA HERRAMIENTA ÚTIL PARA EL ESTUDIO DEALGUNAS APLICACIONES DE LA INDUSTRIA Y LAS CIENCIAS  SON UTILIZADOS PARARESOLVER SISTEMAS DE ECUACIONES NO LINEALES QUE DEPENDEN DE UNO O MÁSPARÁMETROSESTE TRABAJO PRESENTA UNA PLATAFORMA PARA EL ANÁLISIS YDESARROLLO DE MÉTODOS DE CONTINUACIÓN  QUE CONSISTE EN UN SOFTWAREELABORADO EN MATLAB CON UNA INTERFAZ GRÁFICA DE USUARIO DISEÑADA PARAFACILITAR EL TRABAJO DE DESARROLLO  ESTUDIO  ANÁLISIS Y ENSEÑANZA DELTÓPICOEL ENTORNO PROPUESTO SIRVE DE SOPORTE PARA REALIZAR DIVERSASACTIVIDADES  PERMITE A LOS DESARROLLADORES LA CREACIÓN Y ANÁLISIS DEMÉTODOS DE CONTINUACIÓN AL MISMO TIEMPO QUE FACILITA LA COMPRENSIÓN Y LADIDÁCTICA DEL TEMA A ESTUDIANTES Y DOCENTES LA INTERFAZ DE USUARIO  COMOPARTE FUNDAMENTAL DEL SOFTWARE DESARROLLADO  TOMA ENCUENTA CONCEPTOSIMPORTANTES DE USABILIDAD,MÉTODOS DE CONTINUACIÓN  SISTEMAS DE ECUACIONES NO LINEALES  BIFURCACIÓN DIAGRAMA DE BIFURCACIÓN  CORRECTOR  PREDICTOR  USABILIDAD  ORDEN UNO  ODENCERO  PSEUDOCOMPRIMIENTO DE ARCO  INTEFAZ DE USUARIO  MATLAB,TRABAJO ESPECIAL DE GRADO (CALCULO CIENTIFICO)
