,Titulo de tesis,resumen,palabras clave,mencion
49,sistema de gestiÓn de servicios de reservaciÓn y control de inventario atravÉs del uso de dispositivos mÓviles,el presente trabajo especial de grado tiene como objetivo la realizaciÓnde un sistema que permitirÁ la administraciÓn del inventario y el almacÉnde una empresa que presta servicios de spa  ademÁs de las reservaciones delas citas para sus servicios este sistema deberÁ operar tanto para losempleados de la empresa como para los clientes de la misma  con distintosniveles de acceso y de forma remota desde un computador o algÚn dispositivomÓvil con capacidades de conexiÓn para ello se debieron recolectar datossobre la empresa y las distintas herramientas existentes actualmente en elmercado para el desarrollo de sistemas de informaciÓn de manejo dealmacenes  desarrollo de sistemas para dispositivos tanto fijos comomÓviles e inalÁmbricos en funciÓn de lo antes expuesto se elaborÓ unapropuesta de sistema de gestiÓn de servicios para la empresa jumbo spa para dar una soluciÓn eficiente a los requerimientos de la empresa,sistema de informaciÓn  control de inventario  manejo de reservaciones dispositivo mÓvil  desarrollo web  diseÑo  automatizaciÓn  almacÉn,tecnologias en comunicaciones y redes decomputadoras
50,desarrollo de una soluciÓn de inteligencia de negocios para undepartamento de finanzas dentro del sector petroquÍmico,el presente teg consiste en el desarrollo deuna soluciÓn de inteligencia de negocios (bi  business intelligence por sussiglas en inglÉs para un departamento de finanzas del sector petroquÍmico el cual maneja una gran cantidad de informaciÓn y esta es utilizada pararealizar los anÁlisis  reportes e informes necesarios en la actualidadestas tareas son realizadas de manera manual apoyÁndose en hojas decÁlculos  lo que puede traer como consecuencia errores de manipulaciÓn enlos datos y una gran pÉrdida de tiempo en todo este proceso nuestrasoluciÓn de inteligencia de negocio disminuye los tiempos empleados para laextracciÓn y carga de los datos asÍ como para la generaciÓn de reportes informes  grÁfica  entre otros y aseguran la entrega de informaciÓn exacta Útil y necesaria para apoyar la toma de decisiones el objetivo de este teges aprovechar las ventajas que nos ofrece una plataforma bi la cual es unaarquitectura y colecciÓn de operaciones integradas y bases de datos queproporcionan a la comunidad empresarial el acceso fÁcil a los datos  esdecir se aprovecha los proceso analÍtico (olap el cual nos permite unmejor rendimiento para acceder a los datos ultidimensionales proporcionandouna base tÉcnica para los anÁlisis y cÁlculos requeridos  ayudando a que setomen decisiones de manera rÁpida y precisa para alcanzar dicho objetivose utilizÓ una metodologÍa de desarrollo de soluciones de inteligencia denegocio llamada \\the business dimensional lifecycle\\propuesta por ralphkimball y como plataforma de desarrollo se utilizÓ una herramienta decÓdigo abierto (open source llamada pentaho bi la cual es una plataformaque ofrece funcionalidades como los son la integraciÓn de datos (etl reportes  anÁlisis  herramientas olap  minerÍa de datos  entre otras,inteligencia de negocio   datawarehouse   pentaho   anÁlisis   olap  integraciÓn de datos   metodologÍa de ralph kimball,sistemas de informacion
51,implementaciÓn de un dispositivo integrado de seguridad utm y evaluaciÓnde la factibilidad de su configuraciÓn a travÉs de la metodologÍa deintrusiÓn lpt,el presente trabajo especial de grado consiste en evaluar la factibilidadde la configuraciÓn de un utm (unified threat management firebox 750ewatchguard  el cual permite la administraciÓn de la red y proporcionaseguridad a la misma  a travÉs de la metodologÍa de intrusiÓn lpt (licensedpenetration tester el fuerte de los dispositivos utm es la integraciÓn delos diferentes servicios de seguridad en un solo dispositivo  mediante elcual se provee de manera centralizada la seguridad y administraciÓn de lared  facilitando la labor del administrador de red y del analista deseguridad es importante acotar que la instalaciÓn y configuraciÓndescritas en el teg son genÉricas para cualquier dispositivo utm de lamarca watchguard el trabajo se inicia con un estudio teÓrico de losaspectos mÁs relevantes que se deben tomar en consideraciÓn en lo que aseguridad informÁtica se refiere y un anÁlisis de las tÉcnicas mÁs comunesutilizadas por los hackers para la instalaciÓn del dispositivo se utilizanlas recomendaciones del fabricante y para su configuraciÓn se toma encuenta la polÍtica de uso de internet de la instituciÓn y susrequerimientos en cuanto al servicio se aplica la metodologÍa lpt aldispositivo para verificar la factibilidad de la configuraciÓn del utm losdispositivos utm brindan protecciÓn de firewall convencional  protecciÓnaantispam  antiphishing  filtro de contenidos  antivirus ydetecciÓn/prevenciÓn de intrusos ids (intrusion detection system / ips(intrusion prevention system estos dispositivos tambiÉn permiten lacreaciÓn de redes vpn (virtual private network  utilizar protocolos deruteo  traducciones de direcciones y registro delogs  entre otros lametodologÍa para pruebas de intrusiÓn lpt es propia de la casa deconsultores de seguridad ec council  la cual define una serie de pasos paraprobar la seguridad de diferentes equipos  aplicaciones y entornos detrabajo,utm  seguridad informÁtica  lpt  hackers  servicios de seguridadinformÁtica,tecnologias en comunicaciones y redes decomputadoras
52,adecuaciÓn a ambientes grid de dos aplicaciones de computaciÓn de altodesempeÑo en el dominio de fÍsica de altas energÍas y simulaciÓnatmosfÉrica,hoy en dÍa  las aplicaciones operativas o en desarrollo aumentandrÁsticamente la carga de trabajo de los computadores  exigiendoles mayoresniveles de recursos para la ejecuciÓn de las mismas la filosofÍa grid   elalto poder de procesamiento que ofrecen hoy en dÍa muchos computadores ylas altas capacidades de almacenamiento disponibles en la actualidad ofrecen una soluciÓn viable para la soluciÓn de estos problemas el terminogrid se refiere a una infraestructura que permite la integraciÓn y el usocolectivo de computadores  redes y bases de datos que son propiedad y estÁnadministradas por diferentes instituciones el modelo hidrometeorolÓgicobrams y el sistema de simulaciÓn aires son aplicaciones que requieren unalto poder de procesamiento  el objetivo principal de este trabajo esadaptar dichas aplicaciones a una plataforma grid  en este caso de estudiose harÁ uso de la plataforma instalada en el centro de computaciÓn paralelay distribuida,grid  glite  brams  aires,sistemas distribuidos y paralelos
53,animaciones de algoritmos distribuidos para detecciÓn de terminaciÓn,se desarrolla una herramienta monoprocesadora que anima modelos deejecuciÓn de los sistemas distribuidos con el fin de soportar el procesodidÁctico en la enseÑanza de los algoritmos distribuidos las animacionesdesarrolladas se centran en la detecciÓn de terminaciÓn de los procesosdistribuidos  permitiÉndose la parametrizaciÓn de variables como el volumende actividades  la productividad y el grafo de comunicaciÓn del sistemaadicionalmente se realiza una comparaciÓn de las distintas implementacionesde los mÉtodos hechos  en tÉrminos de los datos almacenados y mensajesutilizados con esto se crea un modelo bÁsico que sirve como prototipo parael desarrollo posterior de los sistemas estudiados  o bien sistemassimuladores de Éstos,algoritmos distribuidos  detecciÓn terminaciÓn  animaciones,sistemas distribuidos y paralelos
54,desarrollo del sistema de gestiÓn acadÉmica conest 20: mÓdulo dereportes  constancias y tareas en lote,mÓdulo de reportes  constancias y tareas en lote del sistema conest 20 basadas en las nuevas tecnologÍas ruby 19  rails 22 y mysql 50 lasfuncionalidades ofrecen una mayor usabilidad y rendimiento que laspresentes en el sistema conest y permite el ahorro de recursos en laimpresiÒn fÌsica de documentos,conest  conest 20  ruby  rails  mysql  backgroundrb  reportes constancias  tareas en lote,bases de datos
55,desarrollo de una aplicaciÓn adaptativa para el control de prÉstamo de losequipos del centro de computaciÓn,el presente trabajo especial de grado consiste en el desarrollo de unaaplicaciÓn para el control de prÉstamos de los equipos del centro decomputaciÓn de la facultad de ciencias de la ucv dicha aplicaciÓn esadaptativa  es decir que su interfaz de usuario (basada en tecnologÍa webse puede visualizar tanto en un computador de escritorio como en undispositivo mÓvil pequeÑo el documento comienza con el estudio teÓrico detodos los conceptos necesarios que se tomaron en cuenta para el desarrollode este proyecto la metodologÍa utilizada para la implementaciÓn consisteen una metodologÍa iterativa adaptada al modelo de desarrollo Ágil  dondeuna iteraciÓn refleja el proceso de creaciÓn de un mÓdulo de la aplicaciÓnla tecnologÍa utilizada para el desarrollo de la aplicaciÓn incluye elservidor web apache versiÓn 228  el lenguaje de programaciÓn php versiÓn525 y el servidor de bases de datos mysql versiÓn 5051a cabe destacarque todas estas herramientas utilizadas son open source (cÓdigo abiertola aplicaciÓn desarrollada es capaz de adaptarse a diferentes dispositivos ofreciendo a los usuarios todas las funciones independientemente deldispositivo que se utilice  donde la Única diferencia percibida es lainterfaz las principales funciones de la aplicaciÓn consisten en registrarla entrada y salida de los equipos del centro de computaciÓn  para asÍtener un mejor control de estos,redes   dispositivos inalÁmbricos   dispositivos mÓviles   web mÓvil  pda   web   php   mysql,tecnologias en comunicaciones y redes decomputadoras
56,organizaciÓn  gestiÓn y anÁlisis de datos de levantamiento de suelosmediante un agente de software,uno de los principales problemas encontrados en el proceso delevantamiento de suelos  estÁ relacionado con la manera de organizar lainformaciÓn que se genera relativa a los suelos  debido a las distintasfuentes de informaciÓn que son utilizadas tales como imÁgenes satelitales levantamiento de suelos  resultados de distintas pruebas de laboratorio entre otros esta falta de organizaciÓn dificulta el almacenamiento yposterior ubicaciÓn de manera rÁpida y concisa de la informaciÓn por partede los investigadores con el fin de apoyar a los edafÓlogos en el estudiode suelos  toma de decisiones sobre el uso apropiado de este recurso yrealizar predicciones mÁs precisas sobre usos especÍficos de ellos  esteanÁlisis permite su clasificaciÓn determinando asÍ su disponibilidad encalidad  cantidad y distribuciÓn en este trabajo se propone un agente desoftware que gestione y almacene los datos inherentes a los perfiles desuelos  siendo este el nÚcleo de un sistema basado en agentes (sba queapoye a los profesionales de agronomÍa en sus labores rutinarias decaptura  gestiÓn y clasificaciÓn de la informaciÓn este sistema permitirÁgestionar la informaciÓn relacionada con los aspectos propios del suelo yotras variables geogrÁficas de un espacio particular  mediante la carga deinformaciÓn y consultas complejas que permitirÁn al usuario descifrar demanera mÁs simple todo lo relacionado con los suelos  indicando suspotencialidades y limitaciones mÁs importantes  asÍ como  la superficie queellos ocupan y donde se ubican los que poseen ciertas caracterÍsticasparticulares durante el desarrollo del sistema de software se realizarondiversas investigaciones sobre las metodologÍas mÁs utilizadas para eldesarrollo de sistemas basado en agentes se aplicÓ la metodologÍa mascommonkads  debido a que esta posee herramientas para determinar todos loselementos que interactÚan junto a sus relaciones  lo cual permite poderidentificar de forma precisa los actores activos y pasivos por esto  alusar esta metodologÍa se logro diseÑar un modelo de sistema multiagentesel cual sirviÓ de guÍa durante todo el desarrollo y posteriormente formularlos objetivos que llevaron a la mejor soluciÓn mediante la elaboraciÓn derequisitos,mascommonkads  multiagentes  suelos  gestionar  software,inteligencia artificial
57,sistema de gestiÓn de preparadores para la facultad de ciencias de laucv,la gestiÓn de preparadores no estÁ automatizada en la universidad centralde venezuela  por lo que los trÁmites se hacen lentos y propensos afrecuentes errores esto trae como consecuencia retardos e inconvenientesadministrativos en la contrataciÓn delpersonal docente de preparadurÍas eneste trabajo se diseÑÓ y construyÓ una aplicaciÓn basada en tecnologÍas webque permiten automatizar y agilizar los procesos administrativos referentesa la contrataciÓn  seguimiento y control del personal de preparadurÍas elsistema estÁ diseÑado para atenderlas demandas de la facultad de cienciasde la ucv el diseÑo se basa en la metodologÍa de flujos de trabajo(workflows lo que lo hace flexible y fÁcil de extender a nuevosrequerimientosel sistema ha sido desarrollado en ruby usando el frameworkde desarrollo rails y una arquitectura basada en servicios web que permiteintegrar este sistema con otros ya previamente desarrollados o endesarrollo  especialmente el sistema de control de estudiosconest y con elsistema de gestiÓn de personal de la ucv,preparadores  presupuesto  movimiento de personal  recursos humanos consejo de facultad,aplicaciones internet
58,prototipo del sistema de gestiÓn de preparadores de la escuela decomputaciÓn  mÓdulos gestiÓn de concursos y nombramientos, el propÓsitode este trabajo especial de grado se orientÓ en la elaboraciÓn de unprototipo del sistema de gestiÓn de preparadores de la escuela decomputaciÓn  enfocado especÍficamente en el desarrollo de los mÓdulos degestiÓn de concursos y nombramientos  tomando como base el modelo workflowpropuesto para estos procesos para llevar a cabo la implementaciÓn de estesistema se uso openup como metodologÍa de desarrollo de software y laherramienta de ruby on rails como plataforma de construcciÓn el resultadoobtenido fue la creaciÓn de un prototipo encargado de controlar la gestiÓnde los preparadores  especÍficamente en lo concerniente a los mÓdulosgestiÓn de concurso y gestiÓn de nombramiento este prototipo depende de lainteracciÓn con la bases de datos a travÉs de servicios web dado que eldesarrollo de la bases de datos del sistema corresponde a un trabajo afuturo  el prototipo fue dotado de una soluciÓn preliminar  a travÉs dearchivos xml que simulan la capa de datos  con la cual se muestran losresultados a travÉs de la aplicaciÓn  mientras se alcanza en otra etapa laimplantaciÓn del acceso a los datos mediante los servicios web,gestiÓn de preparadores  gestiÓn por procesos  workflow  servicios web openup  ruby on rails,aplicaciones internet
59,desarrollo de un mÓdulo que permita manejar eventos dentro de los procesosmodelados para el prototipo de la aplicaciÓn web de gestiÓn de procesosacadÉmicos de la coordinaciÓn de postgrado de la facultad de ciencias de launiversidad central de venezuela,en la unidad acadÉmica de la coordinaciÓn de postgrado de la facultad deciencias de la universidad central de venezuela intervienen un determinadonÚmero de procesos donde destaca la complejidad y flujo constante deinformaciÓn afectando de manera directa o indirecta el tiempo de respuestapara llevar a cabo la realizaciÓn efectiva de diversos trÁmites internos yexternos que allÍ son demandados el presente trabajo especial de gradotiene como objetivo desarrollar un sistema de workflow u herramienta quepermita monitorear los procesos y controlar su ejecuciÓn  encargÁndose decrear una lista de trabajo segÚn los procesos vayan iniciÁndose  y segÚnsea el perfil entre el conjunto de actores como lo son estudiantes docentes y personal administrativo que labora en dicha organizaciÓn lametodologÍa de desarrollo utilizada para la gestiÓn de esta aplicaciÓn fueuna adaptaciÓn de la programaciÓn extrema (xp  la cual permitiÓ laelaboraciÓn de la parte prÁctica del presente trabajo de investigaciÓndentro de las necesidades contempladas en la aplicaciÓn se tiene losiguiente: mantener informado a los actores involucrados del flujo detrabajo con la informaciÓn pertinente dependiente del tipo de proceso quese estuviese llevando a cabo en determinado momento el desarrollo de laaplicaciÓn contemplÓ el estudio e incorporaciÓn del conocimientopreviamente desarrollado en los sistemas referentes a: el sistema decontrol de estudios (conest y el sistema de gestiÓn de postgrado(sigepost y el nuevo sistema conest postgrado,coordinaciÓn de postgrados  workflow  estudiantes  docentes  conestpostgrado,aplicaciones internet
60,framework basado en colonias de hormigas artificiales para la resoluciÓnde problemas de optimizaciÓn,en el trabajo se realizÓ un estudio a profundidad de los modeloscomputacionales derivados los sistemas de colonias de hormigas naturales enbÚsqueda de alimento luego  se construyÓ una herramienta basada ensoftware libre  en la cual el programador puede hacer uso de losprincipales algoritmos de colonias de hormigas artificiales por Último  severificÓ el funcionamiento del framework  y la aplicabilidad de losalgoritmos de colonias de hormigas a distintos problemas de optimizaciÓn,colonias de hormigas  framework  optimizaciÓn  sistemas bioinspirados inteligencia artificial,inteligencia artificial
61,diseÑo e implementaciÓn de un servicio de email aunado a tÉcnicasantispam y basado en software de dominio pÚblico,el presente trabajo especial de grado estÁ enfocado hacia laimplementaciÓn de un sistema de correo electrÓnico conjugado con tÉcnicas yherramientas para el control de spam basado en software de dominio pÚblicoel objetivo del trabajo es proponer una soluciÓn que permita a cualquierpersona u organismo implementar un sistema de correo electrÓnico con uneficaz manejo de mensajes no deseados el proyecto estÁ compuesto por unproceso de investigaciÓn  instalaciÓn y configuraciÓn de los componentesnecesarios para implementar una plataforma de correo electrÓnico concontrol de spam la soluciÓn antispam se basa en spamassassin  el cual esun software de cÓdigo abierto que implementa funcionalidades necesariaspara el control del spam como caso de estudio se seleccionÓ a la asambleanacional  en la cual se efectuÓ reingenierÍa total de la plataforma decorreo  quedando establecido zimbra messaging and collaboration suite 50como plataforma de mensajerÍa y colaboraciÓn esta suite usa comobackground el sistema operativo debian etch release 4 todos estos sistemasse integraron para proporcionar un servicio de correo libre de spam enconcordancia con los lineamientos del decreto nº 3390 con laimplementaciÓn de la plataforma de correo electrÓnico con control de spam se logrÓ obtener una soluciÓn que proporciona beneficios adicionales(antivirus  firewall  etc que brinda mÁs y mejores opciones a losusuarios y administradores de igual forma se obtuvo una plataformafÁcilmente escalable en cuanto a servicios y funcionalidades  ademÁs de serextensible  ya que esta soluciÓn se podrÍa implementar en otros entespÚblicos y privados,spam email zimbra postfix spamassassin mta correo electronico,tecnologias en comunicaciones y redes decomputadoras
62,desarrollo de una aplicaciÓn web para el centro de cÓmputo de unaprocesadora de medios de pago que automatice la gestiÓn de incidencias,el presente trabajo especial de grado expone el desarrollo de unaaplicaciÓn web capaz de gestionar eficientemente  las incidencias ocurridasen el centro de cÓmputo la aplicaciÓn desarrollada deberÁ facilitar  elregistro actualizaciÓn  consulta y seguimiento de las incidenciasadicionalmente  deberÁ mejorar el rendimiento  productividad y capacidad derespuesta al personal del centro de cÓmputo la aplicaciÓn se desarrollÓsiguiendo una metodologÍa denominada proceso unificado  la cual utilizacomo una de sus herramientas principales los diagramas de casos de uso pararepresentar las funcionalidades y requerimientos de la aplicaciÓn  secaracteriza por ser capaz de adaptarse a cambios de requisitos en cualquierpunto del ciclo de desarrollo de la aplicaciÓn y estimula el continuocontacto que debe mantenerse entre el desarrollador y el cliente para laimplementaciÓn se utiliza como herramientas de desarrollo  php (hypertextpreprocessor  sistema manejador de bases de datos mysql y javascrip estas herramientas se caracterizan por ser software libre y juntas proveenlas funcionalidades necesarias para la construcciÓn de la aplicaciÓn elresultado obtenido es una aplicaciÓn sencilla de manejar  que lograoptimizar y facilitar el proceso de gestiÓn de incidencias  a travÉs de unainfraestructura tecnolÓgica que abre las puertas hacia un crecimientocompetitivo y permanente,medios de pago  procesadora de medios de pago  centro de cÓmputo incidencias  sistema de registro de incidencias,tecnologias educativas
63,implementaciÓn de un protocolo de enrutamiento avanzado de vector dedistancia,el presente trabajo especial de grado consiste en el desarrollo de unaaplicaciÓn denominada easyeigrp para la enseÑanza del protocolo eigrp(enhanced interior gateway routing protocol patentado por cisco systemsla aplicaciÓn provee un conjunto de herramientas que permiten depurar pasoa paso todos los procesos llevados a cabo durante el funcionamiento deeigrp en distintos escenarios el trabajo se inicia con un estudio basadoen ingenierÍa inversa  el cual consiste en el desarrollo de situacionespuntuales para el estudio del comportamiento del protocolo utilizandorouters cisco durante la implementaciÓn de la aplicaciÓn  se utilizÓ unametodologÍa iterativa basada en las nuevas tendencias del modelo dedesarrollo Ágil que plantea la creaciÓn de cada una de las herramientas dela aplicaciÓn en una iteraciÓn del proceso que abarca las fases deanÁlisis  diseÑo  implementaciÓn y pruebas easyeigrp estÁ diseÑado paraser instalado en cualquier computador y convertir al mismo en un routercreando la posibilidad de comunicarse con otros routers o computadores quecuenten con el protocolo easyeigrp es una implementaciÓn parcial de eigrpdonde se encuentra el protocolo rtp (reliable transfer protocol  elalgoritmo dual (diffussing update algorithm  el protocolo dedescubrimiento y recuperaciÓn de vecinos  entre otros ademÁs  laaplicaciÓn incorpora una gran cantidad de funcionalidades para facilitar eluso de la herramienta y el entendimiento del protocolo algunas de estasfuncionalidades son: posibilidad de configuraciÓn de interfaces fÍsicas yvirtuales  mapas parciales de la red  mÁquina de estado finito  sniffer bitÁcoras de sucesos con distintos niveles de depuraciÓn  etc,eigrp  rtp  dual  cisco systems  protocolo de enrutamiento  java,tecnologias en comunicaciones y redes decomputadoras
64,mejoras al prototipo de sistema de informaciÓn de gestiÓn de proyectos::mÓdulos de alcance   tiempo   costes y recursos humanos,este teg comprende la revisiÓn y reparaciÓnde un sistema de informaciÓn para la gestiÓn de proyectos en el Área dealcance  tiempo  costes y recursos humanos  siguiendo las buenas prÁcticasplanteadas por la guÍa del pmbok (project management body of knowledge guÍa de fundamentos de la direcciÓn de proyectos con este teg sedesea: revisar y reparar los mÓdulos de alcance  tiempo  costes y recursoshumanos para su integraciÓn en el prototipo de sistema de informaciÓn degestiÓn de proyectos (sigp  con el fin de cumplir un conjunto derequisitos y requerimiento para la gerencia de proyectos para llevar acabo este desarrollo se utilizÓ una metodologÍa de mejoras  ajustando lametodologÍa de trabajo de la tesis doctoral: diseÑos instructivosadaptativos:: formaciÓn personalizada y reutilizable en entornos educativosberlanga ((22000066 el mÉtodo de desarrollo utilizado consiste en:conocer el estado del arte::en este paso se desea conocer y obtener lasbases conceptuales de la gerencia de proyecto identificar Áreas demejora::en este paso se revisa el sigp  a fin de determinar cuÁles son lasherramientas que posee el sistema y cuÁles de estas presentan fallasproponer y desarrollar alternativas de soluciÓn::en este paso se propone yse desarrollan las alternativas de soluciÓn para mejorar las fallaspresentadas obtener retroalimentaciÓn de la comunidad cientÍfica yreflexionar y plantear nuevas cuestiones::en este paso se revisan laspropuestas establecidas en el paso anterior considerando si las mismas sono no son adecuadas probar y evaluar la propuesta final::en este paso unavez que la propuesta es lo suficientemente consistente  se implementa  seprueba y se evalÚa mediante la aplicaciÓn de un caso prÁctico se revisanlas herramientas correspondientes al Área de tiempo  alcance  costo yrecursos humanos para seleccionar aquellas que presentan fallas en elprototipo una vez seleccionadas se llevan a cabo las mejoras de las mismasy las pruebas necesarias para comprobar su correcto funcionamiento,proyecto  gestiÓn de proyecto  herramientas y tÉcnicas  Área deconocimientos  alcance  tiempo  costes  rrhh  revisiÓn  falla reparaciÓn,bases de datos
65,propuesta de diseÑo de una soluciÓn de videovigilancia soportada encÁmaras ip con tecnologÍa ieee 80211 para el edificio el rectorado  laplaza cubierta y el complejo cultural aula magna de la ucv,debido a los diversos ataques en los que se ha visto involucrada launiversidadcentral de venezuela  surgiÓ la necesidad de una propuesta dediseÑo de una soluciÓnde videovigilancia soportada en cÁmaras ip  con lafinalidad de incrementar los nivelesde vigilancia en el edificio elrectorado  la plaza cubierta y el complejo cultural aulamagna de la ucvesta fue la propuesta de la direcciÓn de tecnologÍa de informaciÓnycomunicaciones (dtic  con el objetivo de reforzar los niveles de seguridady de estamanera brindar tranquilidad a la comunidad universitaria en estetrabajo especial de grado se presenta el diseÑo  losdispositivosinalÁmbricos usados y unas pruebas de funcionamiento  que dansoporte al diseÑo dela soluciÓn los dispositivos inalÁmbricos involucradosen el diseÑo estÁn basados enel fabricante cisco systems la propuesta dediseÑo de la soluciÓn de videovigilanciase basa en el estÁndar ieee 80211y asÍ mismo se propone la implementaciÓn de qos(quality of service especÍficamente del mecanismo de diffserv (differentiatedservices  con lafinalidad de evitar la congestiÓn del trÁfico que transita por la red asuvez para validar esta propuesta de diseÑo  se realizaron diversaspruebas el resultadofinal  es una soluciÓn de videovigilancia soportada enuna wlan completamentefuncional  que cumple con los requisitos exigidos porla dtic y por la direcciÓn deseguridad de la ucv,wlan  ieee 80211  quality of service  qos  differentiated services diffserv  cÁmaras ip,tecnologias en comunicaciones y redes decomputadoras
66,desarrollo de un agente para la captura de datos agronÓmicos desdedispositivos mÓviles utilizando la metodologÍa jade,el estudio y clasificaciÓn de suelos resulta ser una actividadimprescindible para el manejo sustentable de este recurso en mÚltiplesactividades humanas un problema al que se enfrentan los investigadores enesta Área estÁ relacionado con la manera cÓmo se organiza y gestiona lainformaciÓn que se genera desde las distintas fuentes utilizadas  talescomo: imÁgenes satelitales  levantamiento de suelos  resultados dedistintas pruebas de laboratorio  entre otras con el fin de apoyar a losprofesionales en esta actividad  se ha propuesto un sistema basado enagentes inteligentes para el almacenamiento  gestiÓn y clasificaciÓn dedatos en este sistema se contempla el diseÑo y construcciÓn de un agenteque permita la captura de datos desde un dispositivo mÓvil  que es elmotivo del presente trabajo el agente beneficia el proceso de recolecciÓnde datos  haciendo la captura y el registro de los datos de campo desde lamisma aplicaciÓn  a diferencia de los procesos manuales  los cualesrequieren realizar gastos adicionales de tiempo y recursos  para lavalidaciÓn y el almacenamiento de los datos ademÁs  el agente proporcionaasistencia al especialista durante el proceso de captura,agente  captura de datos  dispositivo mÓvil  jade  metodologÍa de agentes siscla  agentes inteligentes  agronomÍa  edafÓlogo  agrologo  laboratoriode inteligencia artificial,inteligencia artificial
67,desarrollo del mÓdulo webquest basado en la especificaciÓn ims learningdesign para la creaciÓn de cursos en la plataforma moodle,el presente trabajo consiste en el diseÑo e implementaciÓn del mÓdulowebquest basado en la especificaciÓn ims learning design para la creaciÓnde cursos en el sistema de gestiÓn de cursos moodle en la actualidadmoodle no cuenta con formatos para la creaciÓn de cursos basados enestrategias de aprendizaje que proporcionen un aprendizaje significativo yel cumplimento de las necesidades instruccionales sin requerir la selecciÓne implementaciÓn de una estrategia de aprendizaje de manera correcta porparte del docente se utilizÓ la estrategia de aprendizaje colaborativowebquest porque estÁ centrada en los estudiantes y puede ser utilizada endiferentes niveles de instrucciÓn o contextos educativos de manera sencillay eficaz por medio de un conjunto de actividades guiadas por el docentepara la resoluciÓn de un problema por estas razones se desarrollÓ unmÓdulo basado en la estrategia de aprendizaje webquest que ademÁs depermitir el desarrollo de cursos en la plataforma moodle  se basa en laespecificaciÓn ims learning design para la generaciÓn de unidades deaprendizaje a partir de estos cursos  permitiendo su reutilizaciÓn endiferentes plataformas o sistemas de enseÑanza  aprendizaje que soportendicha especificaciÓn el proceso de generaciÓn de unidades de aprendizaje apartir de los cursos creados por medio del mÓdulo webquest se realizÓ en unmÓdulo independiente para cumplir con el principio de modularidad de laplataforma y para proveer la posibilidad de integraciÓn de estafuncionalidad con diversos mÓdulos para el desarrollo de ambos mÓdulos seutilizÓ el mÉtodo de desarrollo unificado Ágil (agile unified proccess realizando tres iteraciones que permitieron la implementaciÓn defuncionalidades y mejoras de manera incremental en la primera iteraciÓn seimplementÓ el proceso de creaciÓn de cursos basados en la estrategia deaprendizaje webquest en el sistema de gestiÓn de cursos moodle en lasegunda iteraciÓn se realizÓ el proceso de generaciÓn de unidades deaprendizaje segÚn la especificaciÓn ims learning design a partir de loscursos creados mediante la primera iteraciÓn y se realizÓ una tercera yÚltima iteraciÓn para facilitar el proceso de importaciÓn de usuarios decursos disponibles en cualquier formato en el sistema de gestiÓn de cursosmoodle a cursos creados mediante la primera iteraciÓn,estrategia de aprendizaje  webquest  aprendizaje colaborativo  imslearning design  diseÑo de aprendizaje  unidad de aprendizaje  moodle sistema de gestiÓn de cursos  curso web  entorno virtual de aprendizaje plataforma virtual educativa  proceso de enseÑanza  aprendizaje,ingenieria de software
68,prototipo de un proceso para la extracciÓn  transformaciÓn y visualizaciÓnde Índices acadÉmicos de la bases de datos conest,implantaciÓn de un proceso automatizado para la extracciÓn  transformaciÓny visualizaciÓn de Índices acadÉmicos que apoyen la gestiÓn de la comisiÓncurricular de la escuela de computaciÓn,desarrollo rÁpido de aplicaciones  Índice acadÉmico  comisiÓn curricular visualizaciÓn de datos  mvc  ruby on rails  escuela de computaciÓn  ucv rad,ingenieria de software
69,desarrollo de un sistema de informaciÓn de procesamiento de transacciones(tps basado en la metodologÍa de desarrollo agile unified process (auppara la captura de datos de la encuesta de establecimientos turÍsticos dealojamiento colectivo,el departamento de estadÍsticas econÓmicas del instituto nacional deestadÍsticas (ine propone un nuevo proyecto denominado encuesta deestablecimiento de turismo de alojamiento colectivo  el cual en su primerafase plantea la recolecciÓn de los datos de la encuesta fÍsica  y en susegunda fase la creaciÓn de tabuladores o reportes sustentados en los datosobtenidos en la primera fase debido a que la muestra de establecimientos anivel nacional es bastante amplia  no resulta conveniente para eldepartamento tener los datos de la encuesta en fÍsico  ademÁs estodificultarÍa la ejecuciÓn de la segunda fase del proyecto por ello surgeen el presente teg la necesidad de desarrollarun sistema que permita la captura de los datos de la encuesta y losalmacene en una bases de datos centralizada el sistema debe ser web  ya quepermite a los transcriptores o informantes de los distintosestablecimientos llenar la encuesta digital desde cualquier lugar paraalcanzar dicho objetivo se utilizÓ la metodologÍa de desarrollo del procesoÁgil unificado (aup  por sus siglas en inglÉs  la cual ofrece laflexibilidad necesaria para el desarrollo y la documentaciÓn del sistemael patrÓn de diseÑo modelo vista controlador (mvc  el cual permite eldiseÑo modular del sistema  disminuyendo asÍ las complicaciones ante loscambios  y se emplearon los lenguaje de programaciÓn web php y javascriptlos cuales facilitan crear las funcionalidades del sistema y el manejadorde bases de datos postgresql para almacenar los datos de la encuesta,turismo  establecimientos turÍsticos  turismo de oferta  alojamientocolectivo  aup  mvc  javascript  php  postgresql,sistemas de informacion
